"","g1","g2","g3","g4","g5","g6","g7","g8"
"g1",3.35537111230763,0,0,0,3.6904675436769,0,0,2.26059071869223
"g2",0,0,0,-4.0867016077573,0,-4.01459975787875,0,-3.01989608992846
"g3",0,0,0,4.92776823111724,0,-1.43415469418378,0,0
"g4",1.79795548692258,-1.60494328906344,1.68695233738701,1.85968466466619,0.870920961222566,2.7337287211657,-4.53485809060347,2.97545133343733
"g5",0,0,0,4.54956562936579,0,0,0,0
"g6",1.13306510847765,-3.98665886155304,-3.57451292462957,0,3.37915064331717,3.53344158223552,0,4.41410664560754
"g7",1.84707729121629,0.757039271824283,0.114727662490338,-1.12088305916532,0,4.99380226454722,-0.823539008738635,0
"g8",0,0,1.3877121267687,1.23293378938294,1.51562141919409,-2.64353014624163,0,-0.943268041922614
