"","h1","h2","h3","h4","h5","h6","h7","h8"
"h1",0,0,0,3.12004344927882,0,-2.80221228149556,0,0
"h2",-4.97050402836566,4.59667083639889,1.03054504635812,0,4.9999999985102,0,0,0
"h3",5,-3.98438024769228,0,0,-4.999881267162,0,-4.99998828148116,4.99999694679345
"h4",0,0,0,0,0,0,0,0
"h5",0,0,0,0,0,0,0,0
"h6",0,0,0,4.99999999617891,0,0,-4.99999999140301,0
"h7",0,0,0,0,-0.314194681612655,0,0,0.357997264271339
"h8",0,0,0,0,0,0,0,0
