"","x"
"ILMN_1657248",40.530821433042
"ILMN_1659893",40.2383722381014
"ILMN_1661178",90.839964473774
"ILMN_1669927",35.5289473778195
"ILMN_1726043",25.3744479456034
"ILMN_1772351",45.9637119324675
"ILMN_1793537",21.222487483353
"ILMN_1844323",50.4463973109471
